index,genre,id,title,popularity,runtime,vote_avg,vote_count,cast,director
531,Comedy Action Adventure,203801,The Man from U.N.C.L.E.,48.744209,116,7.1,2265,Henry Cavill Armie Hammer Alicia Vikander Elizabeth Debicki Luca Calvani,Guy Ritchie
532,Comedy,2539,Spanglish,14.209329,130,5.8,369,Adam Sandler T\u00e9a Leoni Paz Vega Cloris Leachman Shelbie Bruce,James L. Brooks
533,Animation Comedy Family Fantasy,9297,Monster House,36.368839,91,6.3,874,Ryan Newman Steve Buscemi Mitchel Musso Sam Lerner Spencer Locke,Gil Kenan
534,Action Comedy Crime Romance,3172,Bandits,24.353302,123,6.2,302,Bruce Willis Billy Bob Thornton Cate Blanchett Troy Garity William Converse-Roberts,Barry Levinson
535,Action Adventure Drama Romance,6520,First Knight,19.143321,134,5.9,311,Sean Connery Richard Gere Julia Ormond Ben Cross Liam Cunningham,Jerry Zucker
536,Drama History Romance,1439,Anna and the King,13.327372,148,6.4,197,Jodie Foster Chow Yun-fat Bai Ling Tom Felton Randall Duk Kim,Andy Tennant
537,Fantasy Action Drama,37958,Immortals,37.917002,110,5.7,880,Mickey Rourke Kellan Lutz Isabel Lucas Henry Cavill Luke Evans,Tarsem Singh
538,Mystery Drama Thriller Crime,2026,Hostage,23.663713,113,6.2,512,Bruce Willis Kevin Pollak Jimmy Bennett Michelle Horn Ben Foster,Florent-Emilio Siri
539,Animation Action Science Fiction Family Adventure,7450,Titan A.E.,14.44381,94,6.3,313,Matt Damon Bill Pullman Drew Barrymore John Leguizamo Nathan Lane,Gary Goldman
540,Action Adventure Comedy Thriller,11375,Hollywood Homicide,10.605084,116,5,166,Harrison Ford Josh Hartnett Lena Olin Bruce Greenwood Isaiah Washington,Ron Shelton
541,Action War Science Fiction,9425,Soldier,11.873856,99,6.1,221,Kurt Russell Jason Scott Lee Jason Isaacs Connie Nielsen Sean Pertwee,Paul W.S. Anderson
542,Action Drama Horror Science Fiction Thriller,25769,Carriers,12.708963,84,5.8,282,Lou Taylor Pucci Chris Pine Piper Perabo Emily VanCamp Christopher Meloni,Pastor
543,Adventure Fantasy Animation Action Comedy,23685,Monkeybone,8.098369,93,4.3,78,Brendan Fraser Bridget Fonda John Turturro Chris Kattan Giancarlo Esposito,Henry Selick
544,Action Adventure Drama Thriller,11866,Flight of the Phoenix,20.374308,113,5.7,276,Dennis Quaid Tyrese Gibson Giovanni Ribisi Miranda Otto Hugh Laurie,John Moore
545,Science Fiction Thriller Drama,9741,Unbreakable,42.006908,106,6.9,1946,Bruce Willis Samuel L. Jackson Robin Wright Spencer Treat Clark John Patrick Amedori,M. Night Shyamalan
546,Family Animation Adventure Comedy,211672,Minions,875.581305,91,6.4,4571,Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Kyle Balda
547,Action Fantasy Thriller,23629,Sucker Punch,39.127082,110,5.9,1623,Emily Browning Abbie Cornish Jena Malone Vanessa Hudgens Jamie Chung,Zack Snyder
548,Crime Mystery,8688,Snake Eyes,20.790703,98,5.8,327,Nicolas Cage Gary Sinise John Heard Carla Gugino Tamara Tunie,Brian De Palma
549,Science Fiction,10153,Sphere,18.65988,134,5.8,476,Dustin Hoffman Sharon Stone Samuel L. Jackson Peter Coyote Liev Schreiber,Barry Levinson
550,Family Animation,153518,The Angry Birds Movie,45.720894,97,5.9,1022,Jason Sudeikis Josh Gad Danny McBride Maya Rudolph Bill Hader,Fergal Reilly
551,Romance Comedy Adventure,8676,Fool's Gold,21.789615,112,5.4,444,Matthew McConaughey Kate Hudson Donald Sutherland Ewen Bremner Alexis Dziena,Andy Tennant
552,Comedy Drama,20829,Funny People,20.199057,146,5.7,390,Adam Sandler Seth Rogen Leslie Mann Eric Bana Jonah Hill,Judd Apatow
553,Thriller Action Drama,4349,The Kingdom,26.123705,110,6.5,513,Jamie Foxx Jennifer Garner Chris Cooper Jason Bateman Ali Suliman,Peter Berg
554,Comedy,9718,Talladega Nights: The Ballad of Ricky Bobby,12.599836,116,6.2,491,Will Ferrell John C. Reilly Sacha Baron Cohen Gary Cole Michael Clarke Duncan,Adam McKay
555,Comedy Family Romance Fantasy,10808,Dr. Dolittle 2,13.543053,87,4.9,410,Eddie Murphy Kristen Wilson Raven-Symon\u00e9 Kyla Pratt Mandy Moore,Steve Carr
556,Action Drama History War,197,Braveheart,60.722162,177,7.7,3336,Mel Gibson Catherine McCormack Sophie Marceau Patrick McGoohan Angus Macfadyen,Mel Gibson
557,Drama War,25,Jarhead,32.227223,125,6.6,765,Jamie Foxx Jake Gyllenhaal Scott MacDonald Lucas Black Peter Sarsgaard,Sam Mendes
558,Animation Comedy Family,35,The Simpsons Movie,46.875375,87,6.9,2264,Dan Castellaneta Julie Kavner Nancy Cartwright Yeardley Smith Hank Azaria,David Silverman
559,Drama Romance,11086,The Majestic,11.215702,152,6.6,188,Jim Carrey Martin Landau Laurie Holden David Ogden Stiers Hal Holbrook,Frank Darabont
560,Action,10477,Driven,8.468586,116,4.5,179,Kip Pardue Robert Sean Leonard Til Schweiger Estella Warren Sylvester Stallone,Renny Harlin
561,Adventure Drama Family,1997,Deux frères,8.884318,109,6.9,180,Ma\u00ef Anh Le Guy Pearce Oanh Nguyen Jaran 'See Tao' Petcharoen St\u00e9phanie Lagarde,Jean-Jacques Annaud
562,Drama Mystery Thriller,6947,The Village,27.491891,108,6.2,1071,Bryce Dallas Howard Joaquin Phoenix Adrien Brody William Hurt Sigourney Weaver,M. Night Shyamalan
563,Comedy Family Fantasy,3050,Doctor Dolittle,21.462935,85,5.4,686,Eddie Murphy Ossie Davis Oliver Platt Peter Boyle Richard Schiff,Betty Thomas
564,Drama Thriller Science Fiction Mystery,2675,Signs,28.848187,106,6.4,1599,Mel Gibson Joaquin Phoenix Rory Culkin Abigail Breslin Cherry Jones,M. Night Shyamalan
565,Adventure Animation Comedy Family Fantasy,809,Shrek 2,47.320801,93,6.7,2988,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Andrew Adamson
566,Animation Adventure Comedy Family,920,Cars,82.643036,117,6.6,3877,Owen Wilson Paul Newman Bonnie Hunt Larry the Cable Guy Tony Shalhoub,John Lasseter
567,Comedy Romance,4806,Runaway Bride,20.230535,116,5.7,455,Julia Roberts Richard Gere Joan Cusack Rita Wilson H\u00e9ctor Elizondo,Garry Marshall
568,Action Adventure Thriller,7451,xXx,46.217769,124,5.8,1424,Vin Diesel Asia Argento Samuel L. Jackson Danny Trejo Leila Arcieri,Rob Cohen
569,Animation Adventure Comedy Family,228165,The SpongeBob Movie: Sponge Out of Water,36.952268,93,5.8,719,Tom Kenny Bill Fagerbakke Rodger Bumpass Clancy Brown Carolyn Lawrence,Paul Tibbitt
570,Action Thriller,3595,Ransom,16.411345,117,6.4,470,Mel Gibson Gary Sinise Delroy Lindo Rene Russo Lili Taylor,Ron Howard
571,Drama Action Thriller War,16869,Inglourious Basterds,72.595961,153,7.9,6430,Brad Pitt M\u00e9lanie Laurent Christoph Waltz Eli Roth Michael Fassbender,Quentin Tarantino
572,Adventure Fantasy Comedy Family,879,Hook,33.648404,144,6.6,1532,Robin Williams Dustin Hoffman Julia Roberts Bob Hoskins Maggie Smith,Steven Spielberg
573,Action Thriller,1573,Die Hard 2,57.69847,124,6.6,1896,Bruce Willis Bonnie Bedelia William Atherton Reginald VelJohnson Franco Nero,Renny Harlin
574,Action Thriller Crime,9257,S.W.A.T.,34.052253,117,5.8,770,Samuel L. Jackson Colin Farrell Michelle Rodriguez LL Cool J Josh Charles,Clark Johnson
575,Drama Mystery Romance Science Fiction Thriller,1903,Vanilla Sky,27.299301,136,6.5,1078,Tom Cruise Pen\u00e9lope Cruz Cameron Diaz Kurt Russell Jason Lee,Cameron Crowe
576,Drama Thriller Fantasy Mystery,9697,Lady in the Water,20.219385,110,5.3,409,Paul Giamatti Jeffrey Wright Bob Balaban Sarita Choudhury Cindy Cheung,M. Night Shyamalan
577,Adventure Science Fiction Action,395,AVP: Alien vs. Predator,42.957216,101,5.5,1217,Sanaa Lathan Raoul Bova Ewen Bremner Colin Salmon Tommy Flanagan,Paul W.S. Anderson
578,Comedy Family Animation Fantasy Music,23398,Alvin and the Chipmunks: The Squeakquel,29.412262,88,5.4,666,Zachary Levi David Cross Jason Lee Justin Long Matthew Gray Gubler,Betty Thomas
579,Action History War,10590,We Were Soldiers,19.708731,138,6.7,521,Mel Gibson Greg Kinnear Madeleine Stowe Sam Elliott Chris Klein,Randall Wallace
580,Action Thriller,117263,Olympus Has Fallen,59.428223,120,6.2,2981,Gerard Butler Aaron Eckhart Angela Bassett Morgan Freeman Radha Mitchell,Antoine Fuqua
581,Science Fiction Action Adventure Thriller,200,Star Trek: Insurrection,19.711951,103,6.3,391,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes
582,Action Science Fiction,44943,Battle: Los Angeles,49.199234,116,5.5,1448,Aaron Eckhart Ram\u00f3n Rodr\u00edguez Will Rothhaar Cory Hardrict Jim Parrack,Jonathan Liebesman
583,Adventure Fantasy Drama,587,Big Fish,46.199482,125,7.6,1994,Ewan McGregor Albert Finney Billy Crudup Jessica Lange Helena Bonham Carter,Tim Burton
584,Fantasy,10395,Wolf,13.758526,125,6,216,Jack Nicholson Christopher Plummer James Spader Michelle Pfeiffer Kate Nelligan,Mike Nichols
585,Drama War,57212,War Horse,29.505574,146,7,992,Tom Hiddleston Benedict Cumberbatch Toby Kebbell Emily Watson Jeremy Irvine,Steven Spielberg
586,War Drama History Action,152760,The Monuments Men,43.873266,118,5.8,1523,Matt Damon Cate Blanchett George Clooney Bill Murray John Goodman,George Clooney
587,Adventure Action Thriller Science Fiction,2756,The Abyss,24.961625,139,7.1,808,Ed Harris Mary Elizabeth Mastrantonio Michael Biehn Leo Burmester Todd Graff,James Cameron
588,Drama Crime,33909,Wall Street: Money Never Sleeps,23.25645,133,5.8,493,Michael Douglas Shia LaBeouf Josh Brolin Carey Mulligan Frank Langella,Oliver Stone
589,Horror Action Drama Fantasy War,49017,Dracula Untold,64.457947,92,6.2,2389,Luke Evans Sarah Gadon Dominic Cooper Art Parkinson Charles Dance,Gary Shore
590,Drama Action Thriller Crime,9882,The Siege,20.089933,116,6,352,Denzel Washington Annette Bening Bruce Willis Tony Shalhoub Sami Bouajila,Edward Zwick
591,Adventure Fantasy Romance Family,2270,Stardust,48.032734,127,7.1,1184,Claire Danes Charlie Cox Michelle Pfeiffer Robert De Niro Sienna Miller,Matthew Vaughn
592,Adventure Drama History,978,Seven Years in Tibet,16.92991,136,7,630,Brad Pitt Jamyang Jamtsho Wangchuk David Thewlis BD Wong Mako,Jean-Jacques Annaud
593,Comedy Drama,44564,The Dilemma,14.780634,111,5.2,304,Kevin James Vince Vaughn Winona Ryder Jennifer Connelly Queen Latifah,Ron Howard
594,Action Adventure Comedy Thriller,3132,Bad Company,14.086292,116,5.4,228,Anthony Hopkins Chris Rock Peter Stormare Gabriel Macht Kerry Washington,Joel Schumacher
595,Adventure Action Horror,8814,Doom,29.261348,105,5,609,Dwayne Johnson Karl Urban Rosamund Pike Ben Daniels Deobia Oparei,Andrzej Bartkowiak
596,Action Adventure Comedy Thriller,8427,I Spy,13.267631,97,5.2,269,Eddie Murphy Owen Wilson Famke Janssen Keith Dallas Malcolm McDowell,Betty Thomas
597,Fantasy Action Horror,52520,Underworld: Awakening,58.401204,88,6.1,1862,Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley,M\u00e5ns M\u00e5rlind
598,Comedy Drama Music Romance,80585,Rock of Ages,23.515938,123,6,385,Julianne Hough Diego Boneta Tom Cruise Alec Baldwin Russell Brand,Adam Shankman
599,Drama War,10592,Hart's War,14.244518,125,5.9,241,Bruce Willis Colin Farrell Terrence Howard Marcel Iure\u0219 Cole Hauser,Gregory Hoblit
600,Action Adventure Thriller,49021,Killer Elite,29.501489,116,6.1,695,Jason Statham Clive Owen Robert De Niro Dominic Purcell Yvonne Strahovski,Gary McKendry
601,Action Science Fiction Thriller,11535,Rollerball,9.306253,98,3.4,106,Chris Klein LL Cool J Rebecca Romijn Naveen Andrews Jean Reno,John McTiernan
602,Action Adventure Thriller,10550,Ballistic: Ecks vs. Sever,8.37378,91,4.3,97,Antonio Banderas Lucy Liu Gregg Henry Ray Park Talisa Soto,Wych Kaosayananda
603,Thriller,11258,Hard Rain,10.930537,97,5.5,179,Morgan Freeman Christian Slater Randy Quaid Minnie Driver Ed Asner,Mikael Salomon
604,Adventure Animation Action Comedy Family,12610,Osmosis Jones,10.54544,95,5.9,228,Chris Rock Laurence Fishburne David Hyde Pierce Brandy Norwood Bill Murray,Bobby Farrelly
605,Animation Music Family,59981,Legends of Oz: Dorothy's Return,6.682006,88,5.9,43,Lea Michele Dan Aykroyd Patrick Stewart Hugh Dancy Jim Belushi,Dan St. Pierre
606,Crime Drama Mystery,201088,Blackhat,46.832372,133,5.1,826,Chris Hemsworth Leehom Wang Tang Wei Viola Davis Holt McCallany,Michael Mann
607,Mystery Action Thriller Science Fiction Adventure,5137,Sky Captain and the World of Tomorrow,24.664776,107,5.7,439,Jude Law Gwyneth Paltrow Giovanni Ribisi Angelina Jolie Bai Ling,Kerry Conran
608,Crime Mystery Thriller,3093,Basic Instinct 2,13.483387,114,4.6,180,Sharon Stone David Morrissey Charlotte Rampling David Thewlis Stan Collymore,Michael Caton-Jones
609,Action Thriller,107846,Escape Plan,44.478043,115,6.7,1659,Sylvester Stallone Arnold Schwarzenegger Jim Caviezel Vinnie Jones 50 Cent,Mikael H\u00e5fstr\u00f6m
610,Action Adventure,188207,The Legend of Hercules,25.020428,99,4.4,533,Kellan Lutz Liam McIntyre Gaia Weiss Scott Adkins Roxanne McKee,Renny Harlin
611,Thriller Action Drama,4614,The Sum of All Fears,22.392544,124,5.9,437,Ben Affleck Morgan Freeman James Cromwell Ken Jenkins Liev Schreiber,Phil Alden Robinson
612,Adventure Fantasy Drama Romance,24021,The Twilight Saga: Eclipse,107.069763,124,5.8,2301,Kristen Stewart Robert Pattinson Taylor Lautner Ashley Greene Peter Facinelli,David Slade
613,Action Crime Thriller,11371,The Score,22.572323,124,6.7,423,Robert De Niro Edward Norton Marlon Brando Angela Bassett Paul Soles,Frank Oz
614,Animation Family,20352,Despicable Me,113.858273,95,7.1,6478,Steve Carell Jason Segel Russell Brand Julie Andrews Will Arnett,Pierre Coffin
615,Action Comedy Crime,11517,Money Train,10.004564,103,5.4,222,Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper,Joseph Ruben
616,Comedy,214756,Ted 2,68.734513,115,6.2,2463,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Seth MacFarlane
617,Adventure Drama History,26428,Agora,18.888806,127,6.9,395,Rachel Weisz Max Minghella Oscar Isaac Ashraf Barhom Michael Lonsdale,Alejandro 
618,Adventure Fantasy Action Comedy Science Fiction,9824,Mystery Men,12.948627,121,5.7,250,Ben Stiller Geoffrey Rush Claire Forlani William H. Macy Hank Azaria,Kinka Usher
619,Comedy,48988,Hall Pass,27.11589,105,5.4,611,Owen Wilson Jason Sudeikis Jenna Fischer Christina Applegate Nicky Whelan,Bobby Farrelly
620,Drama Thriller,9008,The Insider,26.153669,157,7.3,481,Al Pacino Russell Crowe Christopher Plummer Diane Venora Bruce McGill,Michael Mann
621,Action Drama History Thriller,300673,The Finest Hours,28.223664,114,6.3,588,Chris Pine Casey Affleck Ben Foster Eric Bana Holliday Grainger,Craig Gillespie
622,Action Drama Thriller,12113,Body of Lies,37.507136,128,6.5,895,Leonardo DiCaprio Russell Crowe Mark Strong Ali Suliman Simon McBurney,Ridley Scott
623,Comedy,38778,Dinner for Schmucks,11.023691,114,5.5,531,Steve Carell Paul Rudd Stephanie Szostak Jemaine Clement Zach Galifianakis,Jay Roach
624,Action Fantasy Horror,72331,Abraham Lincoln: Vampire Hunter,38.634767,94,5.5,1269,Benjamin Walker Dominic Cooper Anthony Mackie Mary Elizabeth Winstead Rufus Sewell,Timur Bekmambetov
625,Romance Drama Mystery,1844,Entrapment,25.877794,112,6,602,Sean Connery Catherine Zeta-Jones Will Patton Maury Chaykin Ving Rhames,Jon Amiel
626,Mystery Science Fiction Thriller,846,The X Files,18.59991,121,6.6,488,David Duchovny Gillian Anderson Mitch Pileggi William B. Davis John Neville,Rob Bowman
627,Action Adventure Fantasy War,9703,The Last Legion,12.282911,102,5,207,Colin Firth Ben Kingsley Aishwarya Rai Bachchan Peter Mullan Kevin McKidd,Doug Lefler
628,Drama History War,857,Saving Private Ryan,76.041867,169,7.9,5048,Tom Hanks Matt Damon Vin Diesel Tom Sizemore Barry Pepper,Steven Spielberg
629,Action Crime Drama Thriller,136797,Need for Speed,54.81489,130,6.1,1520,Aaron Paul Dominic Cooper Imogen Poots Rami Malek Ram\u00f3n Rodr\u00edguez,Scott Waugh
630,Comedy Romance,3981,What Women Want,31.39165,127,6.1,992,Helen Hunt Mel Gibson Marisa Tomei Lauren Holly Mark Feuerstein,Nancy Meyers
631,Animation Comedy Family Adventure,425,Ice Age,99.561972,81,7.1,3857,Ray Romano John Leguizamo Denis Leary Goran Visnjic Jack Black,Chris Wedge
632,Drama Horror Science Fiction Thriller,6171,Dreamcatcher,26.792794,136,5.3,567,Morgan Freeman Thomas Jane Jason Lee Damian Lewis Timothy Olyphant,Lawrence Kasdan
633,History Drama,72976,Lincoln,36.307296,149,6.7,1429,Daniel Day-Lewis Sally Field David Strathairn Joseph Gordon-Levitt James Spader,Steven Spielberg
634,Action Science Fiction,603,The Matrix,104.309993,136,7.9,8907,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Gloria Foster,Lilly Wachowski
635,Drama,568,Apollo 13,68.140214,140,7.3,1599,Tom Hanks Bill Paxton Kevin Bacon Gary Sinise Ed Harris,Ron Howard
636,Fantasy Comedy Family,9021,The Santa Clause 2,14.646884,104,5.5,297,Tim Allen Elizabeth Mitchell David Krumholtz Eric Lloyd Spencer Breslin,Michael Lembeck
637,Drama Music Romance,82695,Les Misérables,48.356214,157,7.1,1884,Hugh Jackman Russell Crowe Anne Hathaway Amanda Seyfried Sacha Baron Cohen,Tom Hooper
638,Comedy Romance,9489,You've Got Mail,28.540267,119,6.3,838,Tom Hanks Meg Ryan Katie Sagona Greg Kinnear Parker Posey,Nora Ephron
639,Comedy,12133,Step Brothers,22.977983,98,6.5,1062,Will Ferrell John C. Reilly Mary Steenburgen Richard Jenkins Adam Scott,Adam McKay
640,Action Adventure,9342,The Mask of Zorro,31.086791,136,6.3,1183,Antonio Banderas Anthony Hopkins Catherine Zeta-Jones Stuart Wilson Diego Sieres,Martin Campbell
641,Comedy Drama,41733,Due Date,43.865294,95,6.2,1685,Robert Downey Jr. Zach Galifianakis Michelle Monaghan Jamie Foxx Juliette Lewis,Todd Phillips
642,Drama War,227306,Unbroken,43.055253,137,7.3,1400,Jack O'Connell Domhnall Gleeson Garrett Hedlund Miyavi Finn Wittrock,Angelina Jolie
643,Action Adventure Thriller,5551,Space Cowboys,15.772081,130,6.3,403,Clint Eastwood Tommy Lee Jones Donald Sutherland James Garner James Cromwell,Clint Eastwood
644,Action Adventure Thriller,9350,Cliffhanger,26.19909,112,6.1,588,Sylvester Stallone John Lithgow Michael Rooker Janine Turner Rex Linn,Renny Harlin
645,Action Adventure Drama Thriller,9208,Broken Arrow,22.769108,108,5.7,453,John Travolta Christian Slater Samantha Mathis Delroy Lindo Bob Gunton,John Woo
646,Fantasy Comedy Family,4244,The Kid,18.281798,104,6,238,Bruce Willis Spencer Breslin Emily Mortimer Lily Tomlin Chi McBride,Jon Turteltaub
647,Drama History Thriller,1852,World Trade Center,24.697533,128,5.9,447,Nicolas Cage Maria Bello Maggie Gyllenhaal Michael Pe\u00f1a Jay Hernandez,Oliver Stone
648,Drama Romance,11820,Mona Lisa Smile,19.718544,117,6.5,393,Julia Roberts Kirsten Dunst Julia Stiles Maggie Gyllenhaal Ginnifer Goodwin,Mike Newell
649,Comedy,76493,The Dictator,31.349143,83,5.9,1743,Sacha Baron Cohen Sayed Badreya Aasif Mandvi Megan Fox Anna Faris,Larry Charles
650,Mystery Drama,345,Eyes Wide Shut,27.870312,159,7.1,1234,Tom Cruise Nicole Kidman Madison Eginton Jackie Sawiris Sydney Pollack,Stanley Kubrick
651,Comedy Drama Family,196867,Annie,33.439187,119,6,466,Quvenzhan\u00e9 Wallis Jamie Foxx Rose Byrne Cameron Diaz Bobby Cannavale,Will Gluck
652,Romance Comedy Crime Drama,256591,Focus,59.634029,105,6.7,2542,Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney,Glenn Ficarra
653,Action Comedy Romance,59962,This Means War,38.994297,103,5.9,1389,Reese Witherspoon Chris Pine Tom Hardy Laura Vandervoort Angela Bassett,McG
654,Science Fiction Action Horror Thriller Adventure,36648,Blade: Trinity,49.660055,123,5.7,1252,Wesley Snipes Kris Kristofferson Dominic Purcell Jessica Biel Ryan Reynolds,David S. Goyer
655,Action Thriller,1880,Red Dawn,11.743085,114,6.4,215,Patrick Swayze C. Thomas Howell Lea Thompson Darren Dalton Charlie Sheen,John Milius
656,Comedy Drama,9440,Primary Colors,9.110247,143,6.1,94,John Travolta Emma Thompson Billy Bob Thornton Kathy Bates Adrian Lester,Mike Nichols
657,Action Horror Science Fiction,71679,Resident Evil: Retribution,6.227675,95,5.6,1600,Milla Jovovich Sienna Guillory Michelle Rodriguez Aryana Engineer Li Bingbing,Paul W.S. Anderson
658,Action Thriller Science Fiction,10483,Death Race,42.57877,105,6,1175,Jason Statham Joan Allen Ian McShane Tyrese Gibson Natalie Martinez,Paul W.S. Anderson
659,Crime Action Mystery Thriller,11412,The Long Kiss Goodnight,15.858629,120,6.5,314,Geena Davis Samuel L. Jackson Yvonne Zima Craig Bierko Tom Amandes,Renny Harlin
660,Action Adventure Drama Romance Thriller,11983,Proof of Life,14.866901,135,6,208,Meg Ryan Russell Crowe David Morse Pamela Reed David Caruso,Taylor Hackford
661,Family Fantasy Science Fiction Adventure,6795,Zathura: A Space Adventure,15.194239,101,6.1,779,Jonah Bobo Josh Hutcherson Dax Shepard Kristen Stewart Tim Robbins,Jon Favreau
662,Drama,550,Fight Club,146.757391,139,8.3,9413,Edward Norton Brad Pitt Meat Loaf Jared Leto Helena Bonham Carter,David Fincher
663,Drama,11170,We Are Marshall,8.629665,124,6.7,186,Matthew McConaughey Matthew Fox Anthony Mackie David Strathairn Ian McShane,McG
664,Action Adventure Comedy,9292,Hudson Hawk,16.803457,100,5.4,269,Bruce Willis Danny Aiello Andie MacDowell James Coburn Richard E. Grant,Michael Lehmann
665,Action Adventure Comedy Crime Romance,10783,Lucky Numbers,2.952595,105,4.9,52,John Travolta Lisa Kudrow Tim Roth Ed O'Neill Michael Rapaport,Nora Ephron
666,Horror Thriller,100241,"I, Frankenstein",31.324734,92,5,687,Aaron Eckhart Yvonne Strahovski Bill Nighy Jai Courtney Miranda Otto,Stuart Beattie
667,Crime Drama Family,257,Oliver Twist,20.415572,130,6.7,274,Barney Clark Ben Kingsley Jamie Foreman Harry Eden Edward Hardwicke,Roman Polanski
668,Action Fantasy,9947,Elektra,28.613892,97,4.8,575,Jennifer Garner Goran Visnjic Will Yun Lee Cary-Hiroyuki Tagawa Terence Stamp,Rob Bowman
669,Crime Thriller,189,Sin City: A Dame to Kill For,85.428395,102,6.3,1286,Mickey Rourke Jessica Alba Josh Brolin Joseph Gordon-Levitt Rosario Dawson,Robert Rodriguez
671,Adventure Drama,253412,Everest,60.246978,121,6.7,1772,Jason Clarke Jake Gyllenhaal Josh Brolin John Hawkes Sam Worthington,Baltasar Korm\u00e1kur
672,Crime Fantasy Drama,1427,Perfume: The Story of a Murderer,42.551902,147,7.1,1165,Ben Whishaw Simon Chandler David Calder Richard Felix Birgit Minichmayr,Tom Tykwer
673,Comedy Crime Science Fiction,818,Austin Powers in Goldmember,40.137264,94,5.9,979,Mike Myers Beyonc\u00e9 Knowles Seth Green Michael York Mindy Sterling,Jay Roach
674,Animation Action Family Science Fiction,16577,Astro Boy,24.857079,94,6.1,409,Nicolas Cage Kristen Bell Bill Nighy Donald Sutherland Freddie Highmore,David Bowers
675,Adventure Science Fiction,329,Jurassic Park,40.413191,127,7.6,4856,Sam Neill Laura Dern Jeff Goldblum Richard Attenborough Bob Peck,Steven Spielberg
676,Drama Action Western,12160,Wyatt Earp,13.859307,191,6.5,202,Kevin Costner Dennis Quaid Gene Hackman David Andrews Linden Ashby,Lawrence Kasdan
677,Action Drama Thriller,9331,Clear and Present Danger,18.832471,141,6.4,386,Harrison Ford Willem Dafoe Anne Archer Joaquim de Almeida Henry Czerny,Phillip Noyce
679,Comedy Crime,9072,Little Man,12.421504,98,5.3,261,Marlon Wayans Shawn Wayans Kerry Washington John Witherspoon Tracy Morgan,Keenen Ivory Wayans
680,Action Drama Thriller War,3536,U-571,18.096884,116,6.1,340,Matthew McConaughey Bill Paxton Harvey Keitel Jon Bon Jovi David Keith,Jonathan Mostow
681,Comedy Drama Romance,9087,The American President,11.056763,106,6.5,195,Michael Douglas Annette Bening Michael J. Fox Martin Sheen Anna Deavere Smith,Rob Reiner
682,Comedy Romance,12177,The Love Guru,13.218008,87,4.3,242,Mike Myers Jessica Alba Justin Timberlake Romany Malco Meagan Good,Marco Schnabel
683,Action Adventure Comedy Thriller Crime,12138,3000 Miles to Graceland,11.262655,125,5.8,178,Kurt Russell Kevin Costner Courteney Cox Christian Slater Kevin Pollak,Demian Lichtenstein
684,Crime Drama Mystery Western,273248,The Hateful Eight,68.717016,167,7.6,4274,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins Demi\u00e1n Bichir,Quentin Tarantino
685,Action Comedy Drama,9955,Blades of Glory,19.412028,93,5.9,569,Will Ferrell Jon Heder Will Arnett Amy Poehler Jenna Fischer,Josh Gordon
686,Animation Comedy Family,50359,Hop,16.791058,95,5.5,331,Russell Brand James Marsden Kaley Cuoco Hank Azaria Elizabeth Perkins,Tim Hill
687,Action Adventure War,1271,300,65.197968,117,7,4997,Gerard Butler Lena Headey Dominic West David Wenham Vincent Regan,Zack Snyder
688,Comedy Romance,693,Meet the Fockers,32.829538,115,6.1,1373,Ben Stiller Teri Polo Robert De Niro Dustin Hoffman Barbra Streisand,Jay Roach
689,Comedy Family,14306,Marley & Me,30.951203,115,6.9,1343,Owen Wilson Jennifer Aniston Eric Dane Kathleen Turner Alan Arkin,David Frankel
690,Fantasy Drama Crime,497,The Green Mile,103.698022,189,8.2,4048,Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt James Cromwell,Frank Darabont
691,Action Adventure Comedy,11199,Wild Hogs,31.719463,100,5.6,648,Tim Allen John Travolta Martin Lawrence William H. Macy Ray Liotta,Walt Becker
692,Animation Family Comedy,9982,Chicken Little,47.973995,81,5.6,944,Zach Braff Joan Cusack Dan Molina Steve Zahn Garry Marshall,Mark Dindal
693,Mystery Thriller Drama,210577,Gone Girl,143.041543,145,7.9,5862,Ben Affleck Rosamund Pike Carrie Coon Neil Patrick Harris Tyler Perry,David Fincher
694,Action Drama Mystery Thriller,2501,The Bourne Identity,86.476817,119,7.3,3583,Matt Damon Franka Potente Chris Cooper Clive Owen Brian Cox,Doug Liman
695,Adventure Action Thriller,710,GoldenEye,59.824565,130,6.6,1174,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Martin Campbell
696,Crime Drama Mystery Thriller,2275,The General's Daughter,18.345613,116,6.1,205,John Travolta Madeleine Stowe James Cromwell Timothy Hutton Leslie Stefanson,Simon West
